NO,COIN_ID,COIN_NAME,USD_PRICE,REG_DATE
623,BTC,Bitcoin,19299.84,2020-12-14 12:00
622,BTC,Bitcoin,19153.56,2020-12-14 6:00
621,BTC,Bitcoin,19292.12,2020-12-14 0:00
620,BTC,Bitcoin,18812.61,2020-12-13 12:00
619,BTC,Bitcoin,18376.81,2020-12-12 18:00
618,BTC,Bitcoin,18129.97522,2020-12-12 12:00
617,BTC,Bitcoin,18242.02449,2020-12-12 0:00
616,BTC,Bitcoin,17899.99,2020-12-11 18:00
615,BTC,Bitcoin,18365.78,2020-12-11 6:00
111,HSS,HashSare,0.02191032,2020-12-14 12:00
110,HSS,HashSare,0.02184459,2020-12-14 6:00
109,HSS,HashSare,0.02186665,2020-12-13 18:00
108,HSS,HashSare,0.02201054,2020-12-13 12:00
107,HSS,HashSare,0.02179593,2020-12-12 12:00
106,HSS,HashSare,0.02173594,2020-12-12 0:00
105,HSS,HashSare,0.02183,2020-12-11 12:00
104,HSS,HashSare,0.02485,2020-12-11 6:00
103,HSS,HashSare,0.02209,2020-12-11 0:00
102,HSS,HashSare,0.02306,2020-12-10 18:00
101,HSS,HashSare,0.02385,2020-12-10 12:00
100,HSS,HashSare,0.02499,2020-12-10 6:00
99,HSS,HashSare,0.02482,2020-12-10 0:00
98,HSS,HashSare,0.02472,2020-12-09 18:00
97,HSS,HashSare,0.02446,2020-12-09 12:00
96,HSS,HashSare,0.02488,2020-12-09 6:00
95,HSS,HashSare,0.0255,2020-12-09 0:00
94,HSS,HashSare,0.02553,2020-12-08 12:00
93,HSS,HashSare,0.02662,2020-12-08 6:00
92,HSS,HashSare,0.026,2020-12-07 12:00
91,HSS,HashSare,0.0255,2020-12-07 6:00
90,HSS,HashSare,0.02544,2020-12-07 0:00
89,HSS,HashSare,0.02581,2020-12-06 18:00
88,HSS,HashSare,0.02864,2020-12-06 6:00
87,HSS,HashSare,0.02581,2020-12-06 0:00
86,HSS,HashSare,0.02684,2020-12-05 18:00
85,HSS,HashSare,0.02731,2020-12-05 12:00
84,HSS,HashSare,0.02723,2020-12-05 6:00
83,HSS,HashSare,0.02915,2020-12-05 0:00
82,HSS,HashSare,0.02732,2020-12-04 18:00
81,HSS,HashSare,0.02717,2020-12-04 12:00
80,HSS,HashSare,0.02682,2020-12-04 0:00
