"WALLET_HISTORY_SEQ","WALLET_ID","USER_ID","GUBUN","SORT","COIN_ID","AMOUNT","BALANCE","REASON","REASON_DETAIL","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"30980","WL2020080700044","lee7739","O","1","HSS","44270","86.15030786","출금","출금신청","2020-12-08 09:59:05","lee7739",\n,\n,"Y"
"30979","WL2020080700044","lee7739","I","6","HSS","200","44356.15030787","마이닝청산","마이닝청산","2020-12-08 09:58:03","lee7739","2020-12-08 09:59:05","lee7739","N"
"30978","WL2020072300002","lee7738","O","1","HSS","32170","63.08403055","출금","출금신청","2020-12-08 09:57:36","lee7738",\n,\n,"Y"
"30977","WL2020072300002","lee7738","I","6","HSS","200","32233.08403056","마이닝청산","마이닝청산","2020-12-08 09:56:10","lee7738","2020-12-08 09:57:36","lee7738","N"
"30976","WL2020071400203","cuy9223","O","1","BTC","0.00631931","0","출금","출금신청","2020-12-08 07:21:54","cuy9223",\n,\n,"Y"
"30975","WL2020071400204","cuy9223","I","6","HSS","203.33333296","2156.04451406","마이닝청산","마이닝청산","2020-12-08 07:20:40","cuy9223",\n,\n,"Y"
"30974","WL2020120300006","Jihee3535","I","1","HSS","9371.33932058","37285.07619418","송금","크립토출금요청","2020-12-08 07:13:49","Jihee3535",\n,\n,"Y"
"30973","WL2020071300865","ljs36","I","6","HSS","6.66666666","387.54991279","마이닝청산","마이닝청산","2020-12-08 07:08:20","ljs36",\n,\n,"Y"
"30972","WL2020071400116","ycw701","O","3","HSS","10000","437.56739589","상품구매","상품구매","2020-12-08 07:05:26","ycw701",\n,\n,"Y"
"30971","WL2020071400116","ycw701","I","6","HSS","9563.33333466","10437.56739589","마이닝청산","마이닝청산","2020-12-08 07:05:25","ycw701","2020-12-08 07:05:26","ycw701","N"
"30970","WL2020120700006","value0001","O","3","HSS","112697.22013523","0.00986476","마이닝 해시파워 상품구매","마이닝 해시파워 상품구매","2020-12-08 06:42:49","value0001",\n,\n,"Y"
"30969","WL2020112000008","pretty02","O","1","HSS","50070","187647.98661098","출금","출금신청","2020-12-08 06:42:08","pretty02",\n,\n,"Y"
"30968","WL2020111600024","pretty01","O","1","HSS","50070","115456.35218545","출금","출금신청","2020-12-08 06:41:30","pretty01",\n,\n,"Y"
"30967","WL2020111600006","hssgo10000","O","1","HSS","50070","51432.75284421","출금","출금신청","2020-12-08 06:40:25","hssgo10000",\n,\n,"Y"
"30966","WL2020111600004","good001","O","1","HSS","50070","20631.7322539","출금","출금신청","2020-12-08 06:39:30","good001",\n,\n,"Y"
"30965","WL2020120700006","value0001","I","0","HSS","112697.23","112697.23","입금","0xdda106c80c9c1cad16831d2592907f9e2a77c79d1a2f641189429517e0b5bb60","2020-12-08 06:39:00","value0001","2020-12-08 06:42:49","value0001","N"
"30964","WL2020120300008","dangdang1","I","1","HSS","38772.21324717","38772.21324717","송금","크립토출금요청","2020-12-08 06:37:52","dangdang1",\n,\n,"Y"
"30963","WL2020113000006","jjjj8348","I","1","HSS","40347.33441034","79833.50041825","송금","크립토출금요청","2020-12-08 06:36:59","jjjj8348",\n,\n,"Y"
"30962","WL2020113000002","jj8348","I","1","HSS","40347.33441034","79849.11376977","송금","크립토출금요청","2020-12-08 06:36:23","jj8348",\n,\n,"Y"
"30961","WL2020112900006","j8348","I","1","HSS","34289.17609047","98280.75136827","송금","크립토출금요청","2020-12-08 06:35:41","j8348",\n,\n,"Y"
"30960","WL2020111600006","hssgo10000","I","1","HSS","40347.33441034","101502.75284421","송금","크립토출금요청","2020-12-08 06:34:44","hssgo10000","2020-12-08 06:40:25","hssgo10000","N"
"30959","WL2020112000008","pretty02","I","1","HSS","40347.33441034","237717.98661098","송금","크립토출금요청","2020-12-08 06:33:56","pretty02","2020-12-08 06:42:08","pretty02","N"
"30958","WL2020111600004","good001","I","1","HSS","40347.33441034","70701.7322539","송금","크립토출금요청","2020-12-08 06:33:19","good001","2020-12-08 06:39:30","good001","N"
"30957","WL2020071400274","lgntpc11","I","6","HSS","7426.66666304","60287.72983775","마이닝청산","마이닝청산","2020-12-08 06:31:43","lgntpc11",\n,\n,"Y"
"30956","WL2020111400006","value003","O","1","HSS","50070","61347.93273604","출금","출금신청","2020-12-08 06:30:52","value003",\n,\n,"Y"
"30955","WL2020071400124","ckh004","I","6","HSS","233.333333","11860.95012063","마이닝청산","마이닝청산","2020-12-08 06:29:37","ckh004",\n,\n,"Y"
"30954","WL2020071301118","skim9291","I","6","HSS","266.666666","2365.31633094","마이닝청산","마이닝청산","2020-12-08 05:43:04","skim9291",\n,\n,"Y"
"30953","WL2020071500018","sshh2019","I","6","HSS","46.66666666","913.35901984","마이닝청산","마이닝청산","2020-12-08 03:22:33","sshh2019",\n,\n,"Y"
"30946","WL2020071300690","jakeyun0305","I","9","HSS","10000","162665.51066477","만기","1","2020-12-08 03:05:00","jakeyun0305",\n,\n,"Y"
"30948","WL2020081400022","lys001","I","9","HSS","10000","12265.98239912","만기","1","2020-12-08 03:05:00","lys001",\n,\n,"Y"
"30947","WL2020071301053","woopure","I","9","HSS","10000","10210.69861927","만기","1","2020-12-08 03:05:00","woopure",\n,\n,"Y"
"30949","WL2020092600006","hss02","I","9","HSS","100000","1440151.85433125","만기","1","2020-12-08 03:05:00","hss02",\n,\n,"Y"
"30945","WL2020071300976","pmr7216","I","6","HSS","986.6666652","8140.83062942","마이닝청산","마이닝청산","2020-12-08 02:08:37","pmr7216",\n,\n,"Y"
"30944","WL2020071301232","siri3333","I","6","HSS","3820.0000002","35153.54497004","마이닝청산","마이닝청산","2020-12-08 01:01:55","siri3333",\n,\n,"Y"
"30943","WL2020081100020","ain3535","I","6","HSS","2380","413393.83428433","마이닝청산","마이닝청산","2020-12-08 00:57:04","ain3535",\n,\n,"Y"
"30942","WL2020082600008","ain2222","O","1","HSS","50070","34950.78938489","출금","출금신청","2020-12-08 00:56:22","ain2222",\n,\n,"Y"
"30941","WL2020082600002","ain1111","O","1","HSS","50070","39197.5855456","출금","출금신청","2020-12-08 00:55:24","ain1111",\n,\n,"Y"
"30940","WL2020071400204","cuy9223","I","6","HSS","203.33333296","1952.7111811","마이닝청산","마이닝청산","2020-12-08 00:24:00","cuy9223","2020-12-08 07:20:40","cuy9223","N"
"30939","WL2020111700002","jbc5722","I","1","HSS","11267.6056338","147474.3066257","송금","크립토출금요청","2020-12-08 00:18:10","jbc5722",\n,\n,"Y"
"30938","WL2020111600020","kmr26731","I","1","HSS","15680","16016.91161552","송금","크립토출금요청","2020-12-08 00:11:04","kmr26731",\n,\n,"Y"
"30937","WL2020081100010","applle3","O","1","HSS","50070","33346.71301917","출금","출금신청","2020-12-08 00:10:51","applle3",\n,\n,"Y"
"30936","WL2020111600030","kmr26730","I","1","HSS","9404.38871473","37673.25681902","송금","크립토출금요청","2020-12-08 00:10:12","kmr26730",\n,\n,"Y"
"30935","WL2020092600006","hss02","O","1","HSS","50070","1340151.85433125","출금","출금신청","2020-12-08 00:09:23","hss02","2020-12-08 03:05:00","ADMIN","N"
"30934","WL2020112500004","yk520059","I","1","HSS","9378.66354045","120087.51153811","송금","크립토출금요청","2020-12-08 00:03:12","yk520059",\n,\n,"Y"
"30933","WL2020120700016","smart001","O","3","HSS","115384.61538461","0.00461538","마이닝 해시파워 상품구매","마이닝 해시파워 상품구매","2020-12-07 23:54:11","smart001",\n,\n,"Y"
"30932","WL2020111300038","kmc5318","I","6","HSS","106.66666656","6784.00699984","마이닝청산","마이닝청산","2020-12-07 23:40:48","kmc5318",\n,\n,"Y"
"30931","WL2020112000008","pretty02","O","1","HSS","50070","197370.65220064","출금","출금신청","2020-12-07 23:35:30","pretty02","2020-12-08 06:33:56","pretty02","N"
"30930","WL2020111600024","pretty01","O","1","HSS","50070","165526.35218545","출금","출금신청","2020-12-07 23:34:36","pretty01","2020-12-08 06:41:30","pretty01","N"
"30929","WL2020111600006","hssgo10000","O","1","HSS","50070","61155.41843387","출금","출금신청","2020-12-07 23:33:34","hssgo10000","2020-12-08 06:34:44","hssgo10000","N"
"30928","WL2020111600004","good001","O","1","HSS","50070","30354.39784356","출금","출금신청","2020-12-07 23:32:45","good001","2020-12-08 06:33:19","good001","N"
"30927","WL2020111400006","value003","O","1","HSS","50070","111417.93273604","출금","출금신청","2020-12-07 23:30:50","value003","2020-12-08 06:30:52","value003","N"
"30926","WL2020120700016","smart001","I","0","HSS","115384.62","115384.62","입금","0x116b34771965655d5f777280c5b6f4fa4519ef784d62d312275f3cdaf6caf2b1","2020-12-07 23:27:00","smart001","2020-12-07 23:54:11","smart001","N"
"30925","WL2020111400006","value003","I","1","HSS","40775.51020408","161487.93273605","송금","크립토출금요청","2020-12-07 23:25:18","value003","2020-12-07 23:30:50","value003","N"
"30924","WL2020112000004","freedom","I","1","HSS","12593.46713892","191382.5924295","송금","크립토출금요청","2020-12-07 23:17:29","freedom",\n,\n,"Y"
"30923","WL2020111600010","koreatop1","I","1","HSS","16771.15987461","89924.59157224","송금","크립토출금요청","2020-12-07 23:14:49","koreatop1",\n,\n,"Y"
"30922","WL2020112000002","lsj0027","I","1","HSS","11311.86174391","43913.65204483","송금","크립토출금요청","2020-12-07 23:11:19","lsj0027",\n,\n,"Y"
"30921","WL2020112300002","lje8552","I","1","HSS","9389.6713615","27660.73788852","송금","크립토출금요청","2020-12-07 23:10:40","lje8552",\n,\n,"Y"
"30917","WL2020092800002","hssrich","I","6","HSS","6829.99999596","2864221.09594332","마이닝청산","마이닝청산","2020-12-07 22:32:23","hssrich","2020-12-07 22:32:23","hssrich","N"
"30918","WL2020092800002","hssrich","O","3","HSS","270000","2594221.09594332","상품구매","상품구매","2020-12-07 22:32:23","hssrich",\n,\n,"Y"
"30916","WL2020101100002","goldhss","O","3","HSS","140000","771361.25500947","상품구매","상품구매","2020-12-07 22:31:48","goldhss",\n,\n,"Y"
"30915","WL2020101100002","goldhss","I","6","HSS","2819.99999996","911361.25500947","마이닝청산","마이닝청산","2020-12-07 22:31:48","goldhss","2020-12-07 22:31:48","goldhss","N"
"30913","WL2020092600004","bitmain","I","6","HSS","4636.66666706","516652.17934065","마이닝청산","마이닝청산","2020-12-07 22:31:17","bitmain","2020-12-07 22:31:17","bitmain","N"
"30914","WL2020092600004","bitmain","O","3","HSS","190000","326652.17934064","상품구매","상품구매","2020-12-07 22:31:17","bitmain",\n,\n,"Y"
"30911","WL2020092600008","Alexander","I","6","HSS","6383.33333502","1010730.00001581","마이닝청산","마이닝청산","2020-12-07 22:30:46","Alexander","2020-12-07 22:30:46","Alexander","N"
"30912","WL2020092600008","Alexander","O","3","HSS","240000","770730.00001581","상품구매","상품구매","2020-12-07 22:30:46","Alexander",\n,\n,"Y"
"30910","WL2020081700006","ygs2413","I","6","HSS","239.99999952","1080.49554622","마이닝청산","마이닝청산","2020-12-07 21:55:41","ygs2413",\n,\n,"Y"
"30909","WL2020100700007","rockfeller","O","1","BTC","0.00692638","0","출금","출금신청","2020-12-07 21:50:02","rockfeller",\n,\n,"Y"
"30908","WL2020100700007","rockfeller","O","1","BTC","0.1005","0.00692639","출금","출금신청","2020-12-07 21:49:25","rockfeller","2020-12-07 21:50:02","rockfeller","N"
"30907","WL2020100700008","rockfeller","I","6","HSS","27540","27540","마이닝청산","마이닝청산","2020-12-07 21:46:04","rockfeller",\n,\n,"Y"
"30902","WL2020111600018","boss001","O","1","HSS","50070","132322.74467201","출금","출금신청","2020-12-07 21:18:04","boss001",\n,\n,"Y"
"30901","WL2020071301069","yunsin1","I","6","HSS","10","30.15026405","마이닝청산","마이닝청산","2020-12-07 21:02:33","yunsin1",\n,\n,"Y"
"30898","WL2020082300008","hjs6352","O","3","HSS","210000","220145.29270087","상품구매","상품구매","2020-12-07 20:28:14","hjs6352",\n,\n,"Y"
"30897","WL2020082300008","hjs6352","I","6","HSS","8550.0000018","430145.29270088","마이닝청산","마이닝청산","2020-12-07 20:28:14","hjs6352","2020-12-07 20:28:14","hjs6352","N"
"30896","WL2020071301100","paraok2","O","1","HSS","50070","58406.69699991","출금","출금신청","2020-12-07 19:31:17","paraok2",\n,\n,"Y"
