"NO","USER_ID","LOGIN_IP","LOGIN_BROWSER","LOGIN_BROWSER_VERSION","LOGIN_SYSTEM","LOGIN_DATE","LOGOUT_DATE","REG_DATE","REG_USER","USE_FLAG"
"33428","admin","112.217.160.59","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 10:02:54",\n,"2020-12-08 10:02:54","admin","Y"
"33427","tpdnd2001","106.102.128.133","Chrome Mobile","83.0.4103.106","Android 1.x","2020-12-08 10:01:39",\n,"2020-12-08 10:01:39","tpdnd2001","Y"
"33426","admin","112.217.160.59","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 09:59:50",\n,"2020-12-08 09:59:50","admin","Y"
"33425","lee7739","116.43.250.102","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 09:57:57",\n,"2020-12-08 09:57:57","lee7739","Y"
"33424","lee7738","116.43.250.102","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 09:56:03",\n,"2020-12-08 09:56:03","lee7738","Y"
"33423","lovevvip","223.33.153.102","Chrome Mobile","87.0.4280.86","Android 1.x","2020-12-08 09:27:38",\n,"2020-12-08 09:27:38","lovevvip","Y"
"33422","sshh2019","14.55.140.126","Chrome Mobile","86.0.4240.198","Android Mobile","2020-12-08 08:52:31",\n,"2020-12-08 08:52:31","sshh2019","Y"
"33421","ljs36","61.79.73.105","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 08:49:56",\n,"2020-12-08 08:49:56","ljs36","Y"
"33420","lys001","121.125.190.20","Chrome 8","86.0.4240.198","Windows 10","2020-12-08 07:44:57",\n,"2020-12-08 07:44:57","lys001","Y"
"33419","ljo2295","211.107.240.205","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 07:27:13",\n,"2020-12-08 07:27:13","ljo2295","Y"
"33418","soul063","61.85.181.71","Chrome 8","86.0.4240.198","Windows 10","2020-12-08 07:22:30",\n,"2020-12-08 07:22:30","soul063","Y"
"33417","cuy9223","61.85.181.71","Chrome 8","86.0.4240.198","Windows 10","2020-12-08 07:20:36",\n,"2020-12-08 07:20:36","cuy9223","Y"
"33416","a43410000","223.38.90.253","Chrome Mobile","83.0.4103.106","Android 1.x","2020-12-08 07:14:34",\n,"2020-12-08 07:14:34","a43410000","Y"
"33415","ljs36","61.79.73.105","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 07:08:05",\n,"2020-12-08 07:08:05","ljs36","Y"
"33414","ycw701","61.85.181.71","Chrome 8","86.0.4240.198","Windows 10","2020-12-08 07:04:40",\n,"2020-12-08 07:04:40","ycw701","Y"
"33413","pretty02","211.36.133.134","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:41:45",\n,"2020-12-08 06:41:45","pretty02","Y"
"33412","pretty01","211.36.133.134","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:40:58",\n,"2020-12-08 06:40:58","pretty01","Y"
"33411","hssgo10000","211.36.133.134","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:40:02",\n,"2020-12-08 06:40:02","hssgo10000","Y"
"33410","good001","211.36.133.134","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:39:11",\n,"2020-12-08 06:39:11","good001","Y"
"33409","lgntpc11","222.105.168.235","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 06:31:36",\n,"2020-12-08 06:31:36","lgntpc11","Y"
"33408","yk520059","222.105.168.235","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 06:31:04",\n,"2020-12-08 06:31:04","yk520059","Y"
"33407","value003","211.36.133.134","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:29:51",\n,"2020-12-08 06:29:51","value003","Y"
"33406","ckh004","211.36.140.84","Chrome Mobile","85.0.4183.101","Android 1.x","2020-12-08 06:29:32",\n,"2020-12-08 06:29:32","ckh004","Y"
"33405","value0001","117.111.28.106","Chrome 8","87.0.4280.88","Windows 10","2020-12-08 06:14:18",\n,"2020-12-08 06:14:18","value0001","Y"
"33404","skim9291","125.132.176.133","Chrome Mobile","70.0.3538.64","Android 1.x","2020-12-08 05:42:35",\n,"2020-12-08 05:42:35","skim9291","Y"
"33403","joh1151","223.39.161.154","Chrome Mobile","67.0.3396.87","Android Mobile","2020-12-08 05:11:19",\n,"2020-12-08 05:11:19","joh1151","Y"
"33402","boss001","123.213.207.153","Chrome Mobile","87.0.4280.66","Android 1.x","2020-12-08 04:25:13",\n,"2020-12-08 04:25:13","boss001","Y"
"33401","kyj2757","116.47.141.107","Chrome Mobile","87.0.4280.86","Android 1.x","2020-12-08 03:45:01",\n,"2020-12-08 03:45:01","kyj2757","Y"
"33400","sshh2019","14.55.140.126","Chrome Mobile","86.0.4240.198","Android Mobile","2020-12-08 03:22:23",\n,"2020-12-08 03:22:23","sshh2019","Y"
"33399","pmr7216","223.38.90.69","Chrome Mobile","87.0.4280.66","Android 1.x","2020-12-08 02:08:31",\n,"2020-12-08 02:08:31","pmr7216","Y"
"33398","yk520059","222.105.168.235","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 01:48:26",\n,"2020-12-08 01:48:26","yk520059","Y"
"33397","siri3333","175.223.10.169","Chrome Mobile","86.0.4240.198","Android 1.x","2020-12-08 01:01:52",\n,"2020-12-08 01:01:52","siri3333","Y"
