"NO","WALLET_ID","USER_ID","PUBKEY","FEE","TX","PAY_GUBUN","PAY_STATE","COIN","COIN_ID","CONFIRM","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG","END_FLAG"
"13693","WL2020080700044","lee7739","0xad2c89522468612cddb758b573bea6d061ff9a55","70",\n,"O","S","44200","HSS","1","2020-12-08 09:59:05","lee7739",\n,\n,"Y","1"
"13692","WL2020072300002","lee7738","0xad2c89522468612cddb758b573bea6d061ff9a55","70",\n,"O","S","32100","HSS","1","2020-12-08 09:57:36","lee7738",\n,\n,"Y","1"
"13691","WL2020071400203","cuy9223","1Hw7ubbXm2sGNmj4PYX8tjJ6ukmpkhDJDi","0.0005",\n,"O","S","0.00581931","BTC","1","2020-12-08 07:21:54","cuy9223",\n,\n,"Y","1"
"13690","WL2020112000008","pretty02","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-08 06:42:08","pretty02",\n,\n,"Y","1"
"13689","WL2020111600024","pretty01","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-08 06:41:30","pretty01",\n,\n,"Y","1"
"13688","WL2020111600006","hssgo10000","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-08 06:40:25","hssgo10000",\n,\n,"Y","1"
"13687","WL2020111600004","good001","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-08 06:39:30","good001",\n,\n,"Y","1"
"13686","WL2020120700006","value0001","0x7bdd552a3e1cd1f91323ccb0aca63f1fe656ad23",\n,"0xdda106c80c9c1cad16831d2592907f9e2a77c79d1a2f641189429517e0b5bb60","I","P","112697.23","HSS","11","2020-12-08 06:39:00","value0001",\n,\n,"Y","1"
"13685","WL2020111400006","value003","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-08 06:30:52","value003",\n,\n,"Y","1"
"13684","WL2020082600008","ain2222","0x4d515e48464bcf345da87b38f0f0f1c71b9fdb2f","70",\n,"O","S","50000","HSS","1","2020-12-08 00:56:22","ain2222",\n,\n,"Y","1"
"13683","WL2020082600002","ain1111","0x4d515e48464bcf345da87b38f0f0f1c71b9fdb2f","70",\n,"O","S","50000","HSS","1","2020-12-08 00:55:24","ain1111",\n,\n,"Y","1"
"13682","WL2020081100010","applle3","0xe5d9d051aaa3fa939364ed600e1b880a2feaf5dd","70",\n,"O","S","50000","HSS","1","2020-12-08 00:10:51","applle3",\n,\n,"Y","1"
"13681","WL2020092600006","hss02","0x636cb21628cd4acb3fa0170c182083a0b8750ca4","70",\n,"O","S","50000","HSS","1","2020-12-08 00:09:23","hss02",\n,\n,"Y","1"
"13680","WL2020112000008","pretty02","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-07 23:35:30","pretty02",\n,\n,"Y","1"
"13679","WL2020111600024","pretty01","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-07 23:34:36","pretty01",\n,\n,"Y","1"
"13678","WL2020111600006","hssgo10000","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-07 23:33:34","hssgo10000",\n,\n,"Y","1"
"13677","WL2020111600004","good001","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-07 23:32:45","good001",\n,\n,"Y","1"
"13676","WL2020111400006","value003","0xcc416c1a465fa3ae85cfbddf386b70848dd783e8","70",\n,"O","S","50000","HSS","1","2020-12-07 23:30:50","value003",\n,\n,"Y","1"
"13675","WL2020120700016","smart001","0x1a5435d3956539a9dc3fd24af140a9dd372b7884",\n,"0x116b34771965655d5f777280c5b6f4fa4519ef784d62d312275f3cdaf6caf2b1","I","P","115384.62","HSS","12","2020-12-07 23:27:00","smart001",\n,\n,"Y","1"
"13674","WL2020100700007","rockfeller","3LzcorPyyo1s4u11PDh7VuY77QabkSH1MP","0.0005",\n,"O","S","0.00642639","BTC","1","2020-12-07 21:50:02","rockfeller",\n,\n,"Y","1"
"13673","WL2020100700007","rockfeller","3LzcorPyyo1s4u11PDh7VuY77QabkSH1MP","0.0005",\n,"O","S","0.1","BTC","1","2020-12-07 21:49:25","rockfeller",\n,\n,"Y","1"
