"PT_CODE","USER_ID","PRODUCT_CD","PRODUCT_TYPE","PRODUCT_STATE","PRODUCT_THS","AP_DATE","GD_DATE","ST_COIN","CRT_USD","AUTO_SHIP","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"PT2020122000016","skysangjae","PDT31","M","P","8","2020-12-20 20:19:26",\n,"0.02025317","480","N","2020-12-20 20:18:59","skysangjae","2020-12-20 20:19:26","skysangjae","Y"
"PT2020122000015","takefrom","PDT31","M","P","8","2020-12-20 20:15:18",\n,"0.02025317","480","N","2020-12-20 20:14:52","takefrom","2020-12-20 20:15:18","takefrom","Y"
"PT2020122000014","globaloneteam","PDT31","M","P","8","2020-12-20 19:11:40",\n,"0.02025317","480","N","2020-12-20 19:11:24","globaloneteam","2020-12-20 19:11:40","globaloneteam","Y"
"PT2020122000013","power","PDT30","M","P","2","2020-12-20 18:42:25",\n,"0.00506329","120","N","2020-12-20 18:42:08","power","2020-12-20 18:42:25","power","Y"
"PT2020122000012","hash001","PDT30","M","P","2","2020-12-20 17:24:49",\n,"0.00512688","120","N","2020-12-20 17:24:34","hash001","2020-12-20 17:24:49","hash001","Y"
"PT2020122000011","dia01","PDT33","M","P","50","2020-12-20 11:36:15",\n,"0.12572111","3000","N","2020-12-20 11:35:52","dia01","2020-12-20 11:36:15","dia01","Y"
"PT2020122000010","gold22","PDT33","M","P","50","2020-12-20 11:28:12",\n,"0.12572111","3000","N","2020-12-20 11:27:46","gold22","2020-12-20 11:28:12","gold22","Y"
"PT2020122000009","gold11","PDT33","M","P","50","2020-12-20 11:28:47",\n,"0.12572111","3000","N","2020-12-20 11:27:17","gold11","2020-12-20 11:28:47","gold11","Y"
"PT2020122000008","gold02","PDT33","M","P","50","2020-12-20 10:57:39",\n,"0.12572111","3000","N","2020-12-20 10:57:25","gold02","2020-12-20 10:57:39","gold02","Y"
"PT2020122000007","gold01","PDT33","M","P","50","2020-12-20 10:56:43",\n,"0.12572111","3000","N","2020-12-20 10:56:22","gold01","2020-12-20 10:56:43","gold01","Y"
"PT2020122000006","hssvv2","PDT32","M","P","20","2020-12-20 10:48:34",\n,"0.05028844","1200","N","2020-12-20 10:48:21","hssvv2","2020-12-20 10:48:34","hssvv2","Y"
"PT2020122000005","hssvv1","PDT32","M","P","20","2020-12-20 10:47:43",\n,"0.05028844","1200","N","2020-12-20 10:47:23","hssvv1","2020-12-20 10:47:43","hssvv1","Y"
"PT2020122000004","hssv4","PDT32","M","P","20","2020-12-20 11:22:39",\n,"0.05028844","1200","N","2020-12-20 10:46:44","hssv4","2020-12-20 11:22:39","hssv4","Y"
"PT2020122000003","hssv3","PDT32","M","P","20","2020-12-20 10:46:01",\n,"0.05028844","1200","N","2020-12-20 10:45:44","hssv3","2020-12-20 10:46:01","hssv3","Y"
"PT2020122000002","hssv2","PDT32","M","P","20","2020-12-20 10:45:01",\n,"0.05028844","1200","N","2020-12-20 10:44:43","hssv2","2020-12-20 10:45:01","hssv2","Y"
"PT2020122000001","hssv1","PDT32","M","P","20","2020-12-20 10:42:51",\n,"0.05028844","1200","N","2020-12-20 10:42:34","hssv1","2020-12-20 10:42:51","hssv1","Y"
"PT2020121900062","ko004","PDT31","M","P","8","2020-12-19 23:28:34",\n,"0.02088221","480","N","2020-12-19 23:28:22","ko004","2020-12-19 23:28:34","ko004","Y"
"PT2020121900061","ko003","PDT31","M","P","8","2020-12-19 23:27:56",\n,"0.02088221","480","N","2020-12-19 23:27:44","ko003","2020-12-19 23:27:56","ko003","Y"
"PT2020121900060","ko002","PDT31","M","P","8","2020-12-19 23:27:23",\n,"0.02088221","480","N","2020-12-19 23:27:15","ko002","2020-12-19 23:27:23","ko002","Y"
"PT2020121900059","ko001","PDT31","M","P","8","2020-12-19 23:26:40",\n,"0.02088221","480","N","2020-12-19 23:26:32","ko001","2020-12-19 23:26:40","ko001","Y"
"PT2020121900058","totorod","PDT31","M","P","8","2020-12-19 23:22:30",\n,"0.02088221","480","N","2020-12-19 23:22:17","totorod","2020-12-19 23:22:30","totorod","Y"
"PT2020121900057","totoroc","PDT32","M","P","20","2020-12-19 23:04:09",\n,"0.05220553","1200","N","2020-12-19 23:03:55","totoroc","2020-12-19 23:04:09","totoroc","Y"
"PT2020121900056","totorob","PDT31","M","P","8","2020-12-19 23:02:54",\n,"0.02088221","480","N","2020-12-19 23:02:41","totorob","2020-12-19 23:02:54","totorob","Y"
"PT2020121900055","totoroa","PDT32","M","P","20","2020-12-19 23:02:04",\n,"0.05220553","1200","N","2020-12-19 23:01:50","totoroa","2020-12-19 23:02:04","totoroa","Y"
"PT2020121900054","kokob","PDT32","M","P","20","2020-12-19 22:31:41",\n,"0.05220553","1200","N","2020-12-19 22:31:34","kokob","2020-12-19 22:31:41","kokob","Y"
"PT2020121900053","kokoa","PDT32","M","P","20","2020-12-19 22:31:06",\n,"0.05220553","1200","N","2020-12-19 22:30:53","kokoa","2020-12-19 22:31:06","kokoa","Y"
"PT2020121900052","totoro3","PDT32","M","P","20","2020-12-19 22:29:58",\n,"0.05220553","1200","N","2020-12-19 22:29:46","totoro3","2020-12-19 22:29:58","totoro3","Y"
